title,type,genres,releaseYear,imdbAverageRating
Cuba feliz,movie,"Documentary, Music",2000,6.6
Wkreceni,movie,Comedy,2014,4.5
Home Sweet Hell,movie,"Comedy, Crime, Thriller",2015,5.5
Comet,movie,"Comedy, Drama, Romance",2014,6.7
Humpty Sharma Ki Dulhania,movie,"Comedy, Drama, Romance",2014,6
Straight Outta Compton,movie,"Biography, Drama, History",2015,7.8
Everly,movie,"Action, Thriller",2014,5.1
Just a Little Chemistry,movie,"Comedy, Romance",2015,5.2
Three Sisters,movie,"Drama, Romance",1970,6.2
Happy New Year,movie,"Action, Comedy, Crime",2014,5
Playing It Cool,movie,"Comedy, Romance",2014,5.9
Unfriended,movie,"Horror, Mystery, Thriller",2014,5.6
Abang Long Fadil,movie,"Action, Comedy, Crime",2014,5
Rätten att älska,movie,Drama,1956,5.7
Anjaan,movie,"Action, Crime, Thriller",2014,5.3
What the Fish,movie,"Adventure, Comedy, Drama",2013,5
We Are Moluccans,movie,"Biography, Drama, Sport",2014,7.9
Het gezin van Paemel,movie,"Drama, History",1986,6.8
Maytime in Mayfair,movie,"Comedy, Musical, Romance",1949,5.8
Frontline: Battle for Haiti,movie,,2011,
A Grain of Truth,movie,"Crime, Thriller",2015,6.6
Cómo sobrevivir a una despedida,movie,Comedy,2015,4.5
The Last Adventure,movie,Drama,1974,5.6
It's a Woman's War,movie,"Comedy, Musical",1971,5.1
Mechanic: Resurrection,movie,"Action, Adventure, Crime",2016,5.7
Broken Vows,movie,"Drama, Thriller",2014,4.4
The Duke Wore Jeans,movie,"Comedy, Musical",1958,5
Chain of Events,movie,"Drama, Thriller",1958,6.5
The Solitary Child,movie,"Crime, Drama, Mystery",1958,5.8
Le mille-pattes fait des claquettes,movie,Comedy,1977,5.5
Whiskey Tango Foxtrot,movie,"Biography, Comedy, Drama",2016,6.6
He Never Died,movie,"Comedy, Drama, Fantasy",2015,6.3
Noi donne siamo fatte così,movie,Comedy,1971,6.2
The Bellman,movie,"Crime, Drama, Horror",1945,6.4
The Remaining,movie,"Drama, Horror, Mystery",2014,4.3
For the Emperor,movie,"Action, Crime",2014,5.7
Sigaram Thodu,movie,"Action, Thriller",2014,6.2
Insidious: Chapter 3,movie,"Horror, Mystery, Thriller",2015,6.1
Beverly Hills Cop: Axel F,movie,"Action, Comedy, Crime",2024,6.5
The Lego Movie 2: The Second Part,movie,"Action, Adventure, Animation",2019,6.5
Pandurangadu,movie,"Drama, Fantasy",2008,3.5
The Greatest Thing,movie,"Drama, History, Romance",2001,6.1
Oohalu Gusagusalade,movie,"Comedy, Romance",2014,7.6
Haider,movie,"Action, Crime, Drama",2014,8
Ma ma,movie,Drama,2015,6.4
The Teacher's Diary,movie,"Comedy, Drama, Romance",2014,7.8
The Nortull Gang,movie,Comedy,1923,6.5
Mr. Holmes,movie,"Crime, Drama, Family",2015,6.8
Iris 2: The Movie,movie,"Action, Adventure, Crime",2013,5.4
I've Gotta Horse,movie,"Comedy, Musical",1965,4.7
Next to No Time!,movie,Comedy,1958,5.7
The Divine Move,movie,"Action, Crime",2014,6.6
Facet (nie)potrzebny od zaraz,movie,"Comedy, Drama, Music",2014,4.4
The Smile of a Child,movie,"Comedy, Drama, Music",1969,4.8
The Mummy,movie,"Action, Adventure, Fantasy",2017,5.4
My Brilliant Life,movie,Drama,2014,7.2
Parasyte: Part 1,movie,"Action, Drama, Horror",2014,6.8
Parasyte: Part 2,movie,"Action, Drama, Horror",2015,6.5
Brabançonne,movie,Musical,2014,6.1
Monty Python Live (Mostly),movie,"Comedy, Documentary, Musical",2014,7.6
Cowspiracy: The Sustainability Secret,movie,Documentary,2014,8.1
Oh! Happy Day,movie,"Comedy, Drama, Romance",2003,5.2
Pizza,movie,"Horror, Mystery, Thriller",2014,6.2
The Admiral: Roaring Currents,movie,"Action, Drama, History",2014,7.1
She's Dating the Gangster,movie,"Comedy, Drama, Romance",2014,7
Murderer,movie,"Drama, Thriller",2014,5.1
Irrational Man,movie,"Comedy, Crime, Drama",2015,6.6
Shadowing the Third Man,movie,Documentary,2004,6.9
Kahlil Gibran's The Prophet,movie,"Animation, Drama",2014,7
A Little Chaos,movie,"Drama, Romance",2014,6.5
99 Homes,movie,"Crime, Drama",2014,7.1
Before We Go,movie,"Comedy, Drama, Romance",2014,6.8
Stones for the Rampart,movie,"Drama, War",2014,6.2
Sinister 2,movie,"Horror, Mystery, Thriller",2015,5.3
The Light Between Oceans,movie,"Drama, Romance",2016,7.2
Beasts of No Nation,movie,"Drama, War",2015,7.7
3 Hearts,movie,"Drama, Romance",2014,5.9
The Intruder,movie,"Drama, War",1953,6.7
Fate/stay night [Heaven's Feel] I. presage flower,movie,"Action, Adventure, Animation",2017,7.4
All the Way Up,movie,Comedy,1970,4.5
Confession,movie,"Drama, Thriller",2014,6.5
Last Floor,movie,"Drama, Thriller",2013,5.2
Børning,movie,"Action, Comedy",2014,6.2
Mary Kom,movie,"Action, Biography, Drama",2014,6.8
Still Alice,movie,Drama,2014,7.5
Top Five,movie,"Comedy, Romance",2014,6.4
Breakup Buddies,movie,"Comedy, Drama, Romance",2014,6.4
The Golden Era,movie,"Biography, Drama, Romance",2014,6.4
They Have Escaped,movie,"Drama, Mystery",2014,6.2
Who Am I,movie,"Crime, Drama, Mystery",2014,7.4
No Place for Jennifer,movie,Drama,1950,6.6
Third Is My First,movie,"Comedy, Drama, Romance",2014,7.1
Break Up 100,movie,"Comedy, Romance",2014,5.8
Bear Island,movie,"Action, Adventure, Documentary",2014,6.9
The Pirates,movie,"Action, Adventure, Comedy",2014,6.5
The Janitor,movie,"Action, Crime, Drama",2014,5.3
10 000 timmar,movie,Comedy,2014,4.4
Three Brothers,movie,"Comedy, Family, Fantasy",2014,5.6
One Way Ticket,movie,"Crime, Drama",1971,6
My Own Man,movie,"Comedy, Documentary, Drama",2014,6.4
I Am the Keeper,movie,"Drama, Romance",2014,7.1
The Walk,movie,"Adventure, Biography, Drama",2015,7.3
Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five,movie,"Action, Adventure, Animation",2014,6.9
October Gale,movie,"Drama, Mystery, Romance",2014,5.2
Amrutham Chandamama Lo,movie,"Adventure, Comedy, Fantasy",2014,5.6
Comic 8,movie,"Action, Comedy, Crime",2014,6.8
12 Lotus,movie,Drama,2008,5.8
Alone Man,movie,"Drama, Romance, Sci-Fi",2016,6.3
Rumble,movie,Action,2016,3.7
Mission Blue,movie,"Documentary, Drama",2014,7.9
5 Flights Up,movie,"Comedy, Drama",2014,6.2
Jakarta Undercover,movie,Thriller,2006,5.6
Two Night Stand,movie,"Comedy, Romance",2014,6.3
Max Steel,movie,"Action, Adventure, Fantasy",2016,4.6
Dumb But Disciplined,movie,Comedy,1979,4.5
Northmen: A Viking Saga,movie,"Action, Drama, History",2014,5.4
Paper Planes,movie,"Drama, Family",2014,6.2
Father of Four - The Return of Uncle Sofus,movie,"Comedy, Family",2014,3.8
Temporary Family,movie,"Comedy, Drama",2014,5.5
The Grump,movie,"Comedy, Drama",2014,6.7
Kabukicho Love Hotel,movie,"Drama, Romance",2014,6.9
Margarita with a Straw,movie,"Crime, Drama",2014,7.2
Mano po III: My Love,movie,"Drama, Romance",2004,5.7
Cart,movie,Drama,2014,6.7
Scarlet Innocence,movie,"Drama, Romance, Thriller",2014,5.9
Café. Waiting. Love,movie,"Comedy, Drama, Fantasy",2014,6.5
Raja Natwarlal,movie,"Crime, Thriller",2014,6.2
Shazam!,movie,"Action, Adventure, Comedy",2019,7
The Transporter Refueled,movie,"Action, Thriller",2015,5.2
Sleeping with Other People,movie,"Comedy, Drama, Romance",2015,6.5
Blue Mountain State: The Rise of Thadland,movie,"Comedy, Sport",2016,5.7
A Choo,movie,"Action, Comedy, Fantasy",2020,5.4
The Second Twin,movie,"Crime, Drama, Mystery",1966,6
But Always,movie,"Drama, Romance",2014,5.3
Medicinen,movie,"Comedy, Drama",2014,5.7
Chagall-Malevich,movie,"Biography, Drama, History",2014,6
Poor Millionaires,movie,Comedy,1959,6.1
"Sex, Love & Therapy",movie,"Comedy, Romance",2014,5.4
The Zookeeper's Wife,movie,"Biography, Drama, History",2017,7
Jim Jefferies: BARE,movie,Comedy,2014,8
Het sacrament,movie,"Comedy, Drama",1989,6.3
Grace: The Possession,movie,"Horror, Thriller",2014,4.6
Operation Rogue,movie,"Action, Crime, Thriller",2014,4.4
The Rewrite,movie,"Comedy, Romance",2014,6.3
Modern Boy,movie,Drama,2008,6
The Handmaiden,movie,"Drama, Romance, Thriller",2016,8.1
Ataru: The First Love & the Last Kill,movie,Drama,2013,5.6
Man on the Run,movie,"Crime, Drama, Thriller",1949,6.7
The Nice Guys,movie,"Action, Comedy, Crime",2016,7.4
One Piece: 3D2Y - Overcome Ace's Death! Luffy's Vow to His Friends,movie,"Action, Adventure, Animation",2014,7.5
A Free Woman,movie,Drama,1972,7
The Huntsman: Winter's War,movie,"Action, Adventure, Drama",2016,6.1
"I, Superbiker: The War for Four",movie,"Documentary, Sport",2014,4
Never Die Young,movie,"Documentary, Drama",2013,6.5
Sniper: Legacy,movie,"Action, Thriller, War",2014,5.3
Secret in Their Eyes,movie,"Crime, Drama, Mystery",2015,6.3
Miss You Already,movie,"Comedy, Drama, Romance",2015,6.8
Tracers,movie,"Action, Crime, Drama",2015,5.6
Court,movie,Drama,2014,7.6
Man for a Day,movie,Documentary,2012,7
Kung Fu Jungle,movie,"Action, Crime, Thriller",2014,6.4
Tazza: The Hidden Card,movie,"Crime, Drama",2014,6.8
Image,movie,Thriller,2014,6.4
Red Riding: The Year of Our Lord 1974,movie,"Crime, Drama, History",2009,6.9
Red Riding: The Year of Our Lord 1980,movie,"Crime, Drama, History",2009,7.1
Red Riding: The Year of Our Lord 1983,movie,"Crime, Drama, History",2009,7.1
Bevor der letzte Vorhang fällt,movie,"Documentary, Musical",2014,7.4
Khoobsurat,movie,"Comedy, Romance",2014,6.4
The Family Fang,movie,"Comedy, Drama, Mystery",2015,6.1
Unlocked,movie,"Action, Thriller",2017,6.3
In a Valley of Violence,movie,"Action, Western",2016,6.1
Mad Dogs,movie,"Comedy, Drama, Sci-Fi",2002,4
Within,movie,"Horror, Thriller",2016,5.1
Assassination,movie,"Action, Drama, Thriller",2015,7.2
Farewells,movie,Drama,1966,5.8
Now You See Me 2,movie,"Action, Adventure, Comedy",2016,6.4
Dirty Grandpa,movie,Comedy,2016,5.9
Richard Jewell,movie,"Biography, Crime, Drama",2019,7.5
Tempestad,movie,Documentary,2016,7.8
100,movie,Drama,2008,7.9
My Dog Dou Dou,movie,Drama,2012,5.9
Daddy,movie,Documentary,2004,7.6
Killing Dad or How to Love Your Mother,movie,Comedy,1989,4.4
The Swimmers,movie,"Drama, Horror, Thriller",2014,5.7
Negociador,movie,"Comedy, Drama",2014,6.2
Flower & Snake: Zero,movie,"Horror, Thriller",2014,4.6
Ring of Treason,movie,"Crime, Drama, Thriller",1964,6.6
One Third,movie,"Crime, Drama",2014,6.3
Dabbe 5: Curse of the Jinn,movie,Horror,2014,5.9
Love or Death,movie,Family,2014,5.6
Segrt Hlapic,movie,"Adventure, Family",2013,5.4
Pallieter,movie,"Drama, Romance",1976,6.2
Terror at the Mall,movie,"Documentary, History",2014,8
Kong: Skull Island,movie,"Action, Adventure, Fantasy",2017,6.7
Inside Men,movie,"Action, Crime, Drama",2015,7
The Disappointments Room,movie,"Drama, Horror, Thriller",2016,3.9
Filmed in Supermarionation,movie,"Documentary, History",2014,7.4
The 33,movie,"Biography, Drama, History",2015,6.9
The Wailing,movie,"Drama, Horror, Mystery",2016,7.4
The Lady with a Lamp,movie,"Drama, History, War",1951,6.4
Billy Lynn's Long Halftime Walk,movie,"Action, Drama, Sport",2016,6.2
Kidnap,movie,"Action, Crime, Thriller",2017,5.9
The Quiet Hour,movie,"Drama, Sci-Fi, Thriller",2014,4.6
The Final Girls,movie,"Comedy, Fantasy, Horror",2015,6.5
Warsaw 44,movie,"Drama, History, Romance",2014,6.6
The Boy with the Golden Pants,movie,"Adventure, Family, Fantasy",2014,5.5
Ending Note: Death of a Japanese Salaryman,movie,Documentary,2011,7.3
"Anche se volessi lavorare, che faccio?",movie,Comedy,1972,5.8
Lou! Journal infime,movie,Comedy,2014,6
Pale Moon,movie,Drama,2014,6.9
Little Forest: Summer/Autumn,movie,Drama,2014,7.6
Dummie the Mummy and the Golden Scarabee,movie,"Adventure, Comedy, Family",2014,5.9
Patria,movie,"Drama, History, War",2014,5.1
So Cute,movie,"Comedy, Drama",2004,4.2
Bone Tomahawk,movie,"Drama, Horror, Western",2015,7.1
Rise of the Legend,movie,"Action, Biography, Drama",2014,6.4
Patient Zero,movie,"Action, Drama, Horror",2018,4.6
Let It Snow,movie,"Comedy, Romance",2019,5.9
The Midnight Horror Show,movie,Horror,2014,3.3
Blue Lips,movie,Drama,2014,6.6
Digging for Fire,movie,"Comedy, Drama",2015,5.8
23 Blast,movie,"Drama, Sport",2014,6.4
Eyes of a Thief,movie,Drama,2014,6.5
The Boss Baby,movie,"Adventure, Animation, Comedy",2017,6.3
Everybody Wants Some!!,movie,Comedy,2016,6.9
Servant's Entrance,movie,Comedy,1932,6.2
PBTB E-San Indy,movie,Comedy,2014,6.5
Coming Soon,movie,"Comedy, Drama, Romance",2014,7.3
Operation Ragnarok,movie,"Action, Drama, Sci-Fi",2018,3.1
Hollywood Banker,movie,"Biography, Documentary, Family",2014,7.2
Unique Brothers,movie,"Comedy, Romance",2014,5.6
Brotherly Love,movie,Drama,2015,6.6
Burnt,movie,"Comedy, Drama",2015,6.6
Vacation,movie,"Adventure, Comedy",2015,6.2
The Night Before,movie,"Comedy, Fantasy",2015,6.4
Eye of the Sun,movie,Drama,2008,6.6
Deepwater Horizon,movie,"Action, Drama, History",2016,7.1
Whistle Blower,movie,"Crime, Drama, Mystery",2014,6.9
A Matter of Interpretation,movie,Drama,2014,6.6
Black & White: The Dawn of Justice,movie,"Action, Comedy, Crime",2014,5.6
El Jeremías,movie,"Comedy, Drama, Family",2015,7.2
Psycho-Pass: The Movie,movie,"Action, Animation, Crime",2015,7.1
Uganda Be Kidding Me Live,movie,Comedy,2014,6
Delirios de amor,movie,Drama,1986,5.6
PK,movie,"Comedy, Drama, Sci-Fi",2014,8.1
Fashion King,movie,"Drama, Romance",2014,5.3
Eiffel... I'm in Love,movie,"Comedy, Drama, Romance",2003,6.2
Mendadak Dangdut,movie,"Comedy, Music",2006,6.5
Katy Perry: Getting Intimate,movie,"Biography, Documentary, Music",2014,5.5
So It's You,movie,"Comedy, Romance",2014,7
Adormidera,movie,"Action, Adventure, Fantasy",2013,3.7
Sebastian Maniscalco: Aren't You Embarrassed?,movie,"Comedy, Documentary",2014,7.7
"My Love, My Bride",movie,"Comedy, Romance",2014,6.4
Dying of the Light,movie,"Action, Drama, Thriller",2014,4.5
Dikkulu Choodaku Ramayya,movie,Comedy,2014,5.9
Gangnam 1970,movie,"Action, Crime, Drama",2015,6.2
Suicide Squad,movie,"Action, Adventure, Fantasy",2016,5.9
Wonder Woman,movie,"Action, Adventure, Fantasy",2017,7.3
Aquaman,movie,"Action, Adventure, Fantasy",2018,6.8
I Saw the Light,movie,"Biography, Drama, Music",2015,5.8
Silver Spoon,movie,"Comedy, Drama, Romance",2014,6.6
The Amazing Wiplala,movie,"Adventure, Family, Fantasy",2014,6
Poule et frites,movie,Comedy,1987,3.3
Jigsaw,movie,"Horror, Mystery, Thriller",2017,5.7
Brincante,movie,Documentary,2014,7.7
The Dressmaker,movie,"Comedy, Drama, Western",2015,7
The Price of Crime,movie,"Biography, Crime, Drama",2014,5.9
Next Time I'll Aim for the Heart,movie,"Crime, Drama, Thriller",2014,6.4
Wyatt Cenac: Brooklyn,movie,Comedy,2014,6.3
A Belle for Christmas,movie,"Comedy, Drama, Family",2014,4.7
Do Not Disturb,movie,Comedy,2014,5.7
The Flash,movie,"Action, Adventure, Fantasy",2023,6.6
Do You See Me?,movie,"Comedy, Drama, Romance",2014,6.4
Bita e os Animais,movie,Animation,2014,
The Expendables 4,movie,"Action, Adventure, Thriller",2023,4.8
Chasing the Sun,movie,Drama,2004,7.3
"...And the Third Year, He Resuscitated",movie,Comedy,1980,4.5
Looking for Sophia,movie,Documentary,2004,6.2
Christmas Under Wraps,movie,"Comedy, Drama, Romance",2014,6.2
Sluzby specjalne,movie,"Action, Crime, Drama",2014,6.3
The 5th Wave,movie,"Action, Adventure, Sci-Fi",2016,5.2
The Other Side of the Wind,movie,Drama,2018,6.7
Life,movie,"Biography, Drama",2015,6
Cykelmyggen og minibillen,movie,"Animation, Fantasy, Musical",2014,5.5
Last to Know,movie,Documentary,2006,6.8
Borley Rectory,movie,"Animation, Drama, Horror",2017,5.7
Abo Ali,movie,"Comedy, Romance",2005,6.6
The Ghost,movie,"Action, Crime, Mystery",2007,6.6
Private Alexandria,movie,"Crime, Drama, Mystery",2005,7.1
The Con Artists,movie,"Action, Crime, Drama",2014,6.5
Set Me Free,movie,Drama,2014,6.6
Ahora o nunca,movie,"Comedy, Romance",2015,5.2
City of God: 10 Years Later,movie,Documentary,2013,6.4
Leatherface,movie,"Crime, Horror, Thriller",2017,5
Annihilation,movie,"Adventure, Drama, Horror",2018,6.8
Don't Breathe,movie,"Crime, Horror, Thriller",2016,7.1
13 Hours: The Secret Soldiers of Benghazi,movie,"Action, Drama, History",2016,7.3
Replicas,movie,"Action, Drama, Sci-Fi",2018,5.5
Truth,movie,"Biography, Drama, History",2015,6.8
Ritratti di surf,movie,"Action, Documentary",2012,7.5
The Franchise Affair,movie,"Crime, Drama, Mystery",1951,7.1
Close Range Love,movie,"Drama, Romance",2014,6.2
Paper Boat,movie,"Drama, Romance",2012,7
Hot Road,movie,"Drama, Romance",2014,5.6
Eric Clapton: The 1970s Review,movie,"Documentary, Music",2014,7
Ghabi Minnuh Fih,movie,"Adventure, Comedy, Crime",2004,6.3
We Are Your Friends,movie,"Drama, Music, Romance",2015,6.2
Message from the King,movie,"Action, Crime, Drama",2016,6.4
The Neon Demon,movie,"Horror, Thriller",2016,6.1
Voice from the Stone,movie,"Drama, Mystery, Thriller",2017,5.2
De Fil en Aiguilles,movie,Documentary,2013,
Blonde,movie,"Drama, History",2022,5.5
The Trust,movie,"Action, Crime, Mystery",2016,5.5
Rowdy Fellow,movie,"Action, Romance",2014,6.4
Before I Wake,movie,"Drama, Fantasy, Horror",2016,6.2
Bibi & Tina voll verhext!,movie,"Adventure, Family",2014,5.2
Equals,movie,"Drama, Romance, Sci-Fi",2015,6
That Thing Called Tadhana,movie,"Comedy, Drama, Romance",2014,7.3
The Hunter's Prayer,movie,"Action, Thriller",2017,5.6
Vejska,movie,Comedy,2014,5.5
Himalaya Singh,movie,"Comedy, Drama",2005,4.3
The Team,movie,"Documentary, Sport",2014,6.4
Snowden,movie,"Biography, Crime, Drama",2016,7.3
Remember,movie,"Drama, Mystery, Thriller",2015,7.5
I Give You My Word,movie,"Comedy, Family",2013,6.6
My Big Fat Greek Wedding 2,movie,"Comedy, Romance",2016,6
Rand University,movie,"Documentary, TV Movie",2014,6
La scuola più bella del mondo,movie,Comedy,2014,5
The U: Part 2,movie,"Biography, Documentary, History",2014,7.4
August Sky: 63 Days of Glory,movie,"Drama, War",2013,3.8
Trailer Park Boys: Live at the North Pole,movie,Comedy,2014,6.7
Dragon Ball Z: Resurrection 'F',movie,"Action, Adventure, Animation",2015,7.2
Money Monster,movie,"Action, Crime, Drama",2016,6.5
Ungli,movie,"Crime, Drama, Thriller",2014,5.8
Só Dez Por Cento é Mentira,movie,Documentary,2008,8.5
Hijos de papá,movie,Comedy,1980,5.1
Yaar Gaddar,movie,"Action, Drama, Mystery",1994,3.7
"Debout les crabes, la mer monte!",movie,Comedy,1983,4
Woman in Gold,movie,"Biography, Drama, History",2015,7.3
The Perfect Guy,movie,"Drama, Romance, Thriller",2015,5.6
The Bélier Family,movie,"Comedy, Drama, Music",2014,7.3
Little Ghost,movie,,2014,
For Love or Money,movie,Romance,2014,5.2
That Sugar Film,movie,Documentary,2014,7.4
Eiga Kureyon Shinchan: Gachinko! Gyakushuu no Robotôchan,movie,"Adventure, Animation, Comedy",2014,7.2
Ever Since We Love,movie,"Drama, Romance",2015,5.1
Power Rangers,movie,"Action, Adventure, Fantasy",2017,5.9
Moitié-moitié,movie,Comedy,1989,3.8
The Shamer's Daughter,movie,"Adventure, Drama, Fantasy",2015,6
Dames 4,movie,"Comedy, Sport",2015,6.3
Bandie,movie,"Action, Drama, Romance",1978,4.4
Homies,movie,Comedy,2015,5.7
The Danish Girl,movie,"Biography, Crime, Drama",2015,7.1
Southpaw,movie,"Action, Drama, Sport",2015,7.3
We Are Brothers,movie,"Comedy, Drama",2014,6.2
Mumbai Delhi Mumbai,movie,"Comedy, Romance",2014,5.7
Prince,movie,Romance,1969,6.8
The Paedophile Hunter,movie,Documentary,2014,6.7
People Places Things,movie,"Comedy, Romance",2015,6.8
Tangerine,movie,"Comedy, Crime, Drama",2015,7.1
War Dogs,movie,"Biography, Comedy, Crime",2016,7.1
Homesick,movie,Drama,2015,5.6
The Commune,movie,Drama,2016,6.4
The Bronze,movie,"Comedy, Drama, Sport",2015,6.1
Advantageous,movie,"Drama, Family, Sci-Fi",2015,6.1
The Judge,movie,"Crime, Drama",1984,6.3
Last Knights,movie,"Action, Drama, History",2015,6.2
Teenage Mutant Ninja Turtles: Out of the Shadows,movie,"Action, Adventure, Comedy",2016,5.9
Bill Burr: I'm Sorry You Feel That Way,movie,Comedy,2014,8.2
The D Train,movie,"Comedy, Drama",2015,5.1
Dope,movie,"Adventure, Comedy, Crime",2015,7.2
The Wizard's Daughter,movie,"Adventure, Comedy, Family",2014,5.7
Gollu Aur Pappu,movie,Comedy,2014,3.8
Experimenter,movie,"Biography, Drama, History",2015,6.6
Wolf Totem,movie,"Adventure, Drama",2015,6.6
Grandma,movie,"Comedy, Drama",2015,6.7
The Little Prince,movie,"Adventure, Animation, Drama",2015,7.6
Deliha,movie,Comedy,2014,4.6
After the Ball,movie,Comedy,2015,5.8
"The Rich, the Pauper and the Butler",movie,Comedy,2014,5.4
The Witch,movie,"Drama, Fantasy, Horror",2015,7
Cop Car,movie,"Crime, Thriller",2015,6.3
The Secrets of the Golden Compass,movie,Documentary,2007,
Chlorine,movie,Drama,2015,5.9
Umrika,movie,"Comedy, Drama",2015,6.6
The Second Mother,movie,"Comedy, Drama",2015,7.8
Youth,movie,"Comedy, Drama, Music",2015,7.3
Klown Forever,movie,"Comedy, Drama",2015,6.2
Ako legal wife: Mano po 4?,movie,"Comedy, Drama",2005,5.7
Supernova,movie,"Drama, Mystery, Romance",2014,6.2
Golden Cane Warrior,movie,"Action, Adventure, Drama",2014,6.2
The Legacy of a Whitetail Deer Hunter,movie,"Comedy, Drama",2018,5.5
The Great Wall,movie,"Action, Adventure, Fantasy",2016,5.9
Shark Busters,movie,"Comedy, Crime",2002,5.8
Aithe,movie,"Action, Adventure, Drama",2003,8
Maggie's Plan,movie,"Comedy, Drama, Romance",2015,6.2
Ivy,movie,"Drama, Fantasy, Thriller",2015,7.9
The Anderssons Rock the Mountains,movie,"Comedy, Family",2014,4.1
Ode to My Father,movie,"Drama, War",2014,7.8
Grasshopper,movie,"Action, Crime, Drama",2015,5.5
Kubo and the Two Strings,movie,"Action, Adventure, Animation",2016,7.7
Yolki 1914,movie,"Comedy, Drama, Family",2014,4.5
Love Forecast,movie,"Comedy, Drama, Romance",2015,6.2
The Lost City of Z,movie,"Adventure, Biography, Drama",2016,6.6
Spotlight,movie,"Biography, Crime, Drama",2015,8.1
By the Sea,movie,"Drama, Romance",2015,5.3
Mountains May Depart,movie,"Drama, Romance",2015,6.9
Dheepan,movie,"Crime, Drama",2015,7.2
Fever,movie,Drama,2014,6
Chic!,movie,"Comedy, Drama",2015,5.5
Veve,movie,Drama,2014,6.1
"The Boss, Anatomy of a Crime",movie,"Crime, Drama",2014,7.3
100 Yen Love,movie,"Comedy, Drama",2014,7.1
April Fools,movie,Comedy,2015,6.3
Shin Godzilla,movie,"Action, Drama, Horror",2016,6.8
Animal Crackers,movie,"Adventure, Animation, Comedy",2017,5.8
Les malabars sont au parfum,movie,Comedy,1966,5
"Mario Barth: Die neue Weltrekord-Show: Männer sind schuld, sagen die Frauen",movie,Comedy,2014,4.5
Good Manners,movie,"Fantasy, Horror",2017,6.7
Hong hun,movie,Horror,2014,4.9
Bayi Ajaib,movie,Horror,1982,5.6
Si accettano miracoli,movie,"Comedy, Drama",2015,4.8
The Silence Within,movie,Drama,1996,7.3
The Throne,movie,"Drama, History",2015,7.1
Helios,movie,"Action, Crime, Drama",2015,5.5
Dreamgirls,movie,Comedy,2015,5.4
Spider-Man: Homecoming,movie,"Action, Adventure, Sci-Fi",2017,7.4
The Call,movie,Drama,1936,5.2
"English Only, Please",movie,"Comedy, Romance",2014,7.2
Urge to Kill,movie,"Crime, Drama, Mystery",1960,6
Our Little Sister,movie,"Drama, Family",2015,7.5
Correspondence,movie,"Drama, Romance",2016,6.1
Blue Blood,movie,"Drama, Mystery",2014,6.4
Miles Ahead,movie,"Biography, Drama, Music",2015,6.4
Free State of Jones,movie,"Action, Biography, Drama",2016,6.9
The Bad Batch,movie,"Action, Horror, Mystery",2016,5.2
Thomas the Jet Engine,movie,"Adventure, Animation, Comedy",2002,8.5
The Amazing Praybeyt Benjamin,movie,"Action, Comedy, Fantasy",2014,4.2
Professor,movie,"Comedy, Drama, Musical",1962,6.8
Vanishing Point,movie,Drama,2015,5.9
Lorca. El mar deja de moverse,movie,Documentary,2006,7.7
Pengar: En tragikomisk saga,movie,"Comedy, Drama",1946,6.3
November Criminals,movie,"Crime, Drama, Mystery",2017,5.3
"America, Here We Come",movie,Comedy,2014,6.2
Staying Alive,movie,Comedy,2015,6
The Last: Naruto the Movie,movie,"Action, Adventure, Animation",2014,7.6
Selfie,movie,Comedy,2014,6
Carrie Pilby,movie,"Comedy, Drama",2016,6.7
5 Seconds of Summer: So Perfect,movie,"Documentary, Music",2014,7.7
A la mala,movie,Comedy,2015,6.3
Compadres,movie,"Action, Comedy, Crime",2016,4.8
Key House Mirror,movie,"Drama, Romance",2015,6.9
"What Happened, Miss Simone?",movie,"Biography, Documentary, Music",2015,7.6
Hawaizaada,movie,"Biography, Drama",2015,5.5
The Fundamentals of Caring,movie,"Comedy, Drama",2016,7.3
Full House,movie,"Crime, Drama, Mystery",1952,5.8
Going Clear: Scientology & the Prison of Belief,movie,Documentary,2015,8
Tig,movie,"Biography, Documentary",2015,7.4
Hot Girls Wanted,movie,Documentary,2015,6.1
Meru,movie,"Documentary, Sport",2015,7.7
Casa Amor: Exclusive for Ladies,movie,"Comedy, Romance",2015,6.1
A Zero Too Much,movie,Comedy,1962,5.2
Kill Your Friends,movie,"Comedy, Crime, Music",2015,6
Beyond the Mask,movie,"Action, Adventure, Drama",2015,5.1
Dumapárbaj,movie,Comedy,2015,3.6
Lost Souls,movie,"Comedy, Fantasy, Horror",1989,5.6
13 Minutes,movie,"Biography, Drama, War",2015,7
Daddy or Mommy,movie,"Comedy, Drama, Romance",2015,6
Sweet Bean,movie,Drama,2015,7.4
Jack bestelt een broertje,movie,"Adventure, Family",2015,6
Erbarme dich - Matthäus Passion Stories,movie,"Documentary, Music",2015,7.4
Guna 369,movie,"Action, Drama",2019,6.2
Broken Horses,movie,"Action, Crime, Drama",2015,5.7
The Pearl Button,movie,Documentary,2015,7.6
The Club,movie,"Drama, Mystery, Thriller",2015,7.2
Journal d'une femme de chambre,movie,Drama,2015,5.5
Taxi,movie,"Comedy, Drama",2015,7.3
Triumph in the Skies,movie,Drama,2015,4.3
Big Match,movie,"Action, Comedy, Thriller",2014,6.2
Ever Been to the Moon?,movie,"Comedy, Romance",2015,6.2
